Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz000911,南宁糖业_us_chad,7.47,-6.59,1,-0.028,-2.47,0
sz002381,双箭股份_us_chad,7.47,-12.74,1,-0.020,-24.66,1
sz000760,斯太尔_us_chad,7.48,-6.75,1,0.012,-7.68,0
sh600731,湖南海利_us_chad,7.48,-25.42,1,-0.047,-38.25,1
sz300182,捷成股份_us_chad,7.49,-4.10,1,-0.105,-17.70,1
sh600215,长春经开_us_chad,7.49,-22.94,1,-0.080,-40.53,1
sz300235,方直科技_us_chad,7.50,-16.99,1,-0.128,-15.43,0
sh600638,新黄浦_us_chad,7.50,-21.36,1,-0.074,-23.69,0
sz002151,北斗星通_us_chad,7.51,-12.68,1,-0.134,-25.36,1
sz002588,史丹利_us_chad,7.51,-6.67,1,-0.010,-16.86,1
us_chad,us_chad_中青旅,7.52,-9.57,1,-0.054,-17.41,1
sz002421,达实智能_us_chad,7.52,-22.46,1,-0.082,-33.55,1
sh600355,精伦电子_us_chad,7.52,-11.38,1,-0.031,-21.45,1
sh603567,珍宝岛_us_chad,7.52,-14.76,1,-0.099,-28.32,1
sh600777,新潮实业_us_chad,7.53,6.24,1,-1.991,-9.05,1
sh600768,宁波富邦_us_chad,7.53,-24.72,1,-0.016,-20.77,0
sz002492,恒基达鑫_us_chad,7.53,-27.11,1,-0.057,-27.63,0
sz002453,天马精化_us_chad,7.54,-16.36,1,-0.221,-18.40,0
us_chad,us_chad_北巴传媒,7.54,-14.61,1,-0.003,6.07,2
sz000888,峨眉山Ａ_us_chad,7.55,-10.18,1,-0.026,-17.02,1
sz002131,利欧股份_us_chad,7.55,-4.45,1,-0.144,-20.80,1
sz300437,清水源_us_chad,7.55,-10.58,1,0.122,6.58,2
sz300338,开元仪器_us_chad,7.55,-30.98,1,-0.014,-31.56,0
sz300063,天龙集团_us_chad,7.55,-4.61,1,0.078,-3.48,0
sz002679,福建金森_us_chad,7.56,-22.26,1,-0.034,-30.57,1
